id,question_stem,choices,answerKey,subject_area,difficulty,reasoning
12-878,Which is likeliest to metamorphose?,"A. a live insect
B. a human
C. a plant
D. a dead butterfly",A,biology,2,"The question requires understanding the biological definition of metamorphosis and identifying which organism undergoes this process (insects) versus those that do not (humans, plants) or cannot (dead organisms)."
11-287,Which animal is most likely to eat another living animal?,"A. deer
B. elephant
C. worm
D. lion",D,biology,1,The question requires simple factual recall regarding the dietary habits of common animals to identify a carnivore.
13-886,"If a see through thing is multifaceted, it is most likely","A. a ball
B. an apple
C. a silver globe
D. a quartz square",D,other,2,"The question requires understanding the definition of 'multifaceted' and the physical properties of materials (transparency). A quartz crystal is naturally multifaceted and transparent, whereas the other options are either opaque or typically spherical/smooth."
11-497,Which two objects would electricity best flow through?,"A. a tin can and a plastic fork
B. a steel beam and a soda can
C. an eraser and a wooden pencil
D. human skin and rubber gloves",B,physics,2,"The question requires identifying which materials are electrical conductors versus insulators. It involves recalling the properties of metals (steel, tin) versus non-metals (plastic, rubber, wood) and applying that knowledge to select the pair consisting of two conductors."
9-173,When a wolf is buried what will happen to other wolves?,"A. small change
B. learn to fly
C. less of them
D. more of them",C,biology,2,The question requires understanding basic population dynamics (the removal of an individual from a population leads to a decrease in the total count) and applying that to a wolf pack scenario.
1014,An animal that may like a banana peel is a,"A. bear
B. raccoon
C. cat
D. dog",B,biology,2,"The question requires knowledge of animal diets (biology) and the application of that knowledge to identify an omnivorous scavenger (raccoon) that would consume food waste like a banana peel, distinguishing it from the primarily carnivorous cats and dogs."
14-788,What is made of minerals?,"A. Stonehenge
B. car engines
C. alcohol
D. electricity",A,earth_science,2,"The question requires identifying which option is composed of geological materials (minerals). Stonehenge is made of stone (sarsen and bluestone), which are aggregates of minerals, whereas the other options are either organic, metallic alloys (processed), or energy forms."
12-352,"If you find an animal that isnt breathing, it is safe to assume that thing","A. watched TV
B. cried
C. perished
D. laughed",C,biology,1,"The question requires the recall of a basic biological fact: that breathing is a vital sign of life, and its absence indicates death."
14-350,Which is true?,"A. hot coffee will stay hot forever
B. hot coffee is cold
C. hot coffee can injure due to its temperature
D. hot coffee prevents getting hot enough to burn",C,physics,2,The question requires understanding the concept of thermal energy transfer (heat dissipation) and the practical application that high-temperature substances can cause thermal burns to human tissue.
8-24,"A hurricane is growing on the east coast, and it's coming off of the ocean, as they do. By the time the hurricane hits the east coast, it will have built up quite a bit, and this is because of","A. the salt from the ocean
B. the ocean being quite wet
C. seas have humidity from raised temperatures and fluid
D. the sea being cool and calm",C,earth_science,2,"The question requires understanding the basic mechanism of hurricane intensification, specifically that warm ocean water provides the heat and moisture (humidity) necessary to fuel the storm's development."
7-729,The reason that flies can always find food is that they can smell,"A. organism decay
B. bad smells
C. dying animals
D. rotting trees",A,biology,1,This is a basic fact recall question regarding the biological behavior of flies and their sensory attraction to decaying organic matter as a food source.
12-677,Webbed feet are used to move faster through what?,"A. rain
B. winds
C. clouds
D. swamps",D,biology,1,This is a basic fact recall question regarding the biological adaptation of webbed feet for locomotion in aquatic environments.
12-428,If an island is experiencing a hot summer it is because,"A. of the water
B. of the axis
C. of the shade
D. of glaciers",B,astronomy,2,"The question requires understanding that seasons are caused by the tilt of the Earth's axis relative to its orbit around the sun, which is a fundamental concept in astronomy. It goes beyond simple recall by requiring the application of this concept to the phenomenon of a 'hot summer'."
13-383,"If a thing is going to be a planet, it must orbit in a certain amount of time, which can exclude","A. mercury
B. the ninth planet
C. the third planet
D. venus",B,astronomy,3,The question requires knowledge of the IAU definition of a planet (specifically the requirement to clear the neighborhood around its orbit) and the application of that definition to identify Pluto (the ninth planet) as the object excluded by these criteria.
9-97,A man plugs his television into an outlet behind a cabinet. He sees that the television may now be turned on so that he can watch his favorite show. The man knows that by hooking the t.v. cord into the outlet,"A. he completed a lap
B. he made a good deal
C. he invented new circuits
D. he completed a circuit",D,physics,2,The question requires understanding the basic concept of an electrical circuit and applying it to a common household scenario (plugging in an appliance). It involves recalling the definition of a closed circuit as a prerequisite for electrical device operation.
