question_id,concept_1,concept_1_desc,concept_2,concept_2_desc,concept_3,concept_3_desc
12-878,Biological metamorphosis,The physiological process of transformation from an immature form to an adult form in two or more distinct stages.,Life cycles of organisms,"The series of changes in the life of an organism, including growth, development, and reproduction.",Living vs. non-living things,The basic distinction between organisms that perform biological functions and inanimate objects or dead matter.
11-287,Trophic levels and food webs,The hierarchical classification of organisms based on their feeding behavior and energy source within an ecosystem.,Dietary classification of animals,"Categorizing animals as herbivores, carnivores, or omnivores based on their primary food sources.",Basic biological needs,The fundamental requirement that all living organisms must consume nutrients to survive.
13-886,Crystallography and geometric structure,Understanding that certain minerals and materials form specific geometric shapes with flat faces (facets) due to their internal atomic structure.,Optical properties of materials,"Distinguishing between transparent, translucent, and opaque materials and how light interacts with their physical surfaces.",Basic geometric shapes,Recognizing common shapes and the difference between curved surfaces and flat-sided (multifaceted) objects.
11-497,Electrical conductivity,The property of a material that determines how easily electric current can flow through it.,Classification of materials,"Distinguishing between conductors, which allow charge to move freely, and insulators, which restrict charge movement.",Electric current,The flow of electric charge through a medium.
9-173,Population dynamics,"The study of how and why population sizes change over time due to births, deaths, and migration.",Mortality impact,Understanding that the death of an individual organism directly reduces the total count of its population.,Basic counting,The fundamental concept of addition and subtraction to determine if a quantity has increased or decreased.
1014,Ecological niche and dietary classification,Understanding how an animal's role in an ecosystem and its digestive capabilities determine its food sources.,Omnivore dietary habits,"Recognizing that certain animals consume both plant and animal matter, allowing for a broader range of food intake.",Basic food sources of common animals,Identifying what different types of animals typically eat in their natural or urban environments.
14-788,Geological composition of materials,Understanding the chemical and crystalline structure that defines a mineral versus synthetic or organic substances.,Definition of minerals,"Recognizing that minerals are naturally occurring, inorganic solid substances with a definite chemical composition.",Classification of matter,Distinguishing between natural materials (rocks/minerals) and man-made or non-material entities.
12-352,Biological homeostasis,"The understanding that living organisms require continuous physiological processes, such as respiration, to maintain life.",Signs of life,"The ability to identify observable indicators of a living organism, such as breathing, movement, or heartbeat.",Definition of death,The basic understanding that the cessation of vital functions like breathing indicates an organism is no longer alive.
14-350,Thermal energy and biological tissue damage,The relationship between high thermal energy transfer and the physical damage caused to living cells (burns).,Heat transfer and equilibrium,The process by which thermal energy moves from a hotter object to a cooler one until equilibrium is reached.,Temperature basics,Understanding that temperature is a quantitative measure of how hot or cold an object is.
8-24,Latent heat of condensation,"The process by which water vapor releases stored thermal energy into the atmosphere during phase change, fueling storm intensification.",Evaporation and humidity,"The mechanism by which liquid water turns into water vapor, increasing the moisture content and energy potential of the air above an ocean.",States of matter,The basic understanding that water can exist as a liquid or a gas (vapor) and that temperature influences these states.
7-729,Chemoreception in insects,The biological mechanism by which insects detect chemical signals in the environment to locate resources.,Ecological niche and survival strategies,"The role an organism plays in its ecosystem, including how it identifies and acquires necessary nutrients.",Sensory perception,"The ability of living organisms to detect stimuli such as smell, sight, or sound from their surroundings."
12-677,Locomotion in fluid environments,Understanding how physical adaptations like webbing increase surface area to generate thrust against a fluid medium.,Properties of aquatic habitats,"Recognizing that environments like swamps are water-based, requiring specialized movement compared to land or air.",Biological adaptation basics,The concept that physical traits of organisms are often suited to the specific environment in which they live.
12-428,Axial tilt and seasonality,"The Earth's axial tilt causes varying angles of solar radiation throughout the year, which is the primary driver of seasonal temperature changes.",Solar radiation and heating,The intensity of sunlight reaching a specific location on Earth determines how much energy is absorbed and converted into heat.,Earth's rotation and orbit,"The Earth orbits the Sun while spinning on an axis, creating cycles of day, night, and changing positions relative to the Sun."
